zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,value_sqft,lot_sqft,year_built,last_sold_date,last_sold_price
29432550.0,911 Meadows Drive North,78758,30.375583000000002,-97.69379,287917.0,1733.0,302313.0,270642.0,1684.0,170.97,9304.0,1970.0,,
29604570.0,1205 Lacey Oak Loop,78681,30.530979,-97.700458,286608.0,10168.0,300938.0,272278.0,2281.0,125.65,8244.0,1999.0,,
58304464.0,1101 Minda Drive,78758,30.387624,-97.68941600000001,351109.0,7682.0,372176.0,333554.0,2111.0,166.32,12589.0,1969.0,,
58304368.0,11815 Eubank Drive,78758,30.389934999999998,-97.685762,306482.0,-2799.0,321806.0,291158.0,1775.0,172.67,8568.0,1978.0,,
29347178.0,14 Club Estates Parkway,78738,30.347444,-97.99083,1317594.0,-10891.0,1449353.0,1225362.0,7077.0,186.18,50965.0,1994.0,12/04/2015,768000.0
29412647.0,7105 Blessing Avenue,78752,30.328033,-97.69515200000001,237163.0,1723.0,267994.0,208703.0,1260.0,188.22,8015.0,1998.0,,
29406958.0,1404 Northridge Drive,78723,30.314663,-97.69848,422200.0,4118.0,443310.0,401090.0,1604.0,263.22,9026.0,1955.0,,
29517319.0,12902 Shawnee Drive,78652,30.119864,-97.818382,324529.0,-8765.0,356982.0,305057.0,1542.0,210.46,27116.0,1973.0,,
70355649.0,3104 Richfield Landing,78660,30.461658,-97.576933,387896.0,-1832.0,407291.0,368501.0,3600.0,107.75,10890.0,2006.0,05/05/2015,
29457990.0,2604 Butler National Drive,78660,30.474712,-97.57542600000001,314912.0,-3820.0,330658.0,299166.0,2920.0,107.85,10454.0,1997.0,,
29344268.0,5108 Lucas Lane,78731,30.336403999999998,-97.764175,934580.0,9951.0,1093459.0,822430.0,3433.0,272.23,46347.0,1994.0,,
29419042.0,1708 Pasadena Drive,78757,30.346496000000002,-97.727407,457927.0,8062.0,494561.0,430451.0,1239.0,369.59,8050.0,1952.0,,
94641966.0,19104 Leisure Lane,78645,30.458828000000004,-97.958742,762228.0,-412.0,861318.0,716494.0,4183.0,182.22,127112.0,2008.0,,
144994458.0,10800 Circle Drive,78736,30.244141,-97.944024,430081.0,-4952.0,468788.0,391374.0,3084.0,139.46,10280.0,1996.0,,
70330276.0,4421 Mirador Drive,78735,30.264615999999997,-97.865864,1869246.0,64985.0,2224403.0,1626244.0,5256.0,355.64,147494.0,2006.0,,
70344718.0,13821 Briarcreek Loop,78653,30.312933,-97.531317,177052.0,5207.0,185905.0,168199.0,1300.0,136.19,7200.0,2006.0,,
84378582.0,2185 FM 812,78616,30.063737,-97.560917,252463.0,-140.0,310529.0,209544.0,2754.0,91.67,49963.0,1982.0,,
29391680.0,21929 Ann Showers Drive,78621,30.274126000000003,-97.47519100000001,178471.0,-11041.0,207026.0,153485.0,1050.0,169.97,239319.0,1996.0,,
29487517.0,9207 Granada Hills Drive,78737,30.216765999999996,-97.899739,465566.0,-4475.0,493500.0,428321.0,2253.0,206.64,56445.0,1990.0,,
83825158.0,18820 Double Canyon Drive,78645,30.479710999999998,-97.93815699999999,407830.0,-1541.0,464926.0,367047.0,2588.0,157.59,220414.0,2007.0,,
29469540.0,5709 Colton Road,78719,30.172783000000003,-97.688677,273500.0,-4022.0,298115.0,248885.0,1838.0,148.8,334497.0,1959.0,,
144251137.0,20117 Lockwood Road,78653,30.302138,-97.499837,289381.0,-3663.0,344363.0,251761.0,2426.0,119.28,43560.0,1981.0,,
29471077.0,10223 Thaxton Road,78747,30.125542,-97.738536,291213.0,10218.0,326159.0,247531.0,1113.0,261.65,223289.0,1945.0,,
29428805.0,915 East Village Lane,78758,30.368758000000003,-97.697767,144702.0,-2275.0,156278.0,137467.0,930.0,155.59,4330.0,1973.0,06/21/2017,
29471454.0,14104 Hokanson Road,78617,30.108621000000003,-97.641103,266234.0,-1439.0,308831.0,223637.0,2284.0,116.56,104196.0,1955.0,,
29462325.0,6220 Palm Circle,78741,30.232882,-97.69878800000001,260602.0,-10275.0,278844.0,239754.0,962.0,270.9,6098.0,1970.0,,
29510413.0,10105 Rocking Horse Road,78748,30.179149,-97.845897,369960.0,3757.0,406956.0,318166.0,1910.0,193.7,35523.0,1971.0,,
214443332.0,330 Watersedge Terrace Drive,78621,30.207539,-97.47977,147990.0,3026.0,187947.0,116912.0,1612.0,91.81,276170.0,1979.0,,
80110185.0,9517 Castle Pines Drive,78717,30.494378,-97.760304,340745.0,-1051.0,374819.0,320300.0,2455.0,138.8,10608.0,2006.0,,
29479413.0,7603 Callbram Lane,78736,30.233940999999998,-97.891758,459231.0,-4581.0,482193.0,436269.0,2997.0,153.23,13456.0,1993.0,,
29433650.0,1812 Mearns Meadow Boulevard,78758,30.382820000000002,-97.710188,345014.0,15192.0,365715.0,317413.0,2161.0,159.65,9583.0,1975.0,,
29509204.0,9105 Chisholm Lane,78748,30.177658,-97.80960300000001,311772.0,7492.0,336714.0,289948.0,1315.0,237.09,30492.0,1977.0,,
29507484.0,10304 Wolftrap Drive,78749,30.182888000000002,-97.857569,399052.0,2704.0,419005.0,375109.0,2826.0,141.21,9452.0,1991.0,,
29340055.0,12445 Fairfax Ridge Place,78738,30.313603999999998,-97.931221,476478.0,-2483.0,500302.0,452654.0,2805.0,169.87,12524.0,1998.0,,
63228290.0,14099 Ashton Woods Circle,78727,30.440601,-97.706142,272836.0,1281.0,286478.0,259194.0,1446.0,188.68,7440.0,2004.0,,
80097888.0,12601 Maidenhair Lane,78738,30.295452,-97.946057,1621639.0,-1878.0,1702721.0,1540557.0,6700.0,242.04,26920.0,2011.0,06/18/2018,1600000.0
58305575.0,4807 Misty Brook Cove,78727,30.416598999999998,-97.734563,431241.0,1651.0,452803.0,409679.0,2221.0,194.17,10516.0,1981.0,08/29/2015,
29381327.0,13108 Fawnvalley Drive,78613,30.514758,-97.88064,312401.0,3432.0,356137.0,284285.0,1844.0,169.41,15146.0,1974.0,,
29477173.0,4016 Clawson Road,78704,30.231135,-97.783301,489950.0,5091.0,524247.0,465453.0,864.0,567.07,21266.0,1942.0,,
70334530.0,19625 Cheyenne Valley Drive,78664,30.489015999999996,-97.60589499999999,304563.0,1568.0,319791.0,289335.0,3289.0,92.6,9779.0,2008.0,,
58312962.0,4703 South Forest Drive,78745,30.222107,-97.787182,318179.0,3511.0,334088.0,302270.0,996.0,319.46,7736.0,1959.0,,
29407462.0,6802 Syracuse Cove,78723,30.313644,-97.668377,308448.0,-3393.0,323870.0,289941.0,1036.0,297.73,7566.0,1961.0,,
58303385.0,11800 Dessau Road,78753,30.384114,-97.670574,276626.0,-4808.0,290457.0,262795.0,1306.0,211.81,11365.0,1959.0,,
83829536.0,19218 Lockwood Road,78653,30.309408,-97.514248,372166.0,8372.0,405661.0,334949.0,3121.0,119.25,116305.0,1977.0,11/15/2010,228783.0
